timestamp,gpu_util_pct,memory_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026-07-16T13:04:39Z,100, 41, 116633, 143771, 681.20, 66
2026-07-16T13:04:41Z,100, 55, 116633, 143771, 680.93, 67
2026-07-16T13:04:43Z,100, 50, 116633, 143771, 685.33, 67
2026-07-16T13:04:45Z,100, 52, 116633, 143771, 684.21, 66
2026-07-16T13:04:47Z,100, 54, 116633, 143771, 677.97, 66
2026-07-16T13:04:49Z,100, 55, 116633, 143771, 702.16, 67
2026-07-16T13:04:51Z,100, 55, 116633, 143771, 694.94, 68
2026-07-16T13:04:53Z,100, 53, 116633, 143771, 693.94, 68
2026-07-16T13:04:55Z,100, 55, 116633, 143771, 687.63, 68
2026-07-16T13:04:57Z,100, 53, 116633, 143771, 681.35, 68
2026-07-16T13:04:59Z,100, 54, 116633, 143771, 690.72, 68
2026-07-16T13:05:01Z,100, 56, 116633, 143771, 698.37, 68
2026-07-16T13:05:03Z,100, 44, 116633, 143771, 688.34, 64
2026-07-16T13:05:05Z,100, 55, 116633, 143771, 687.35, 69
2026-07-16T13:05:07Z,100, 52, 116633, 143771, 684.12, 68
2026-07-16T13:05:09Z,100, 54, 116633, 143771, 684.05, 66
2026-07-16T13:05:11Z,72, 40, 116633, 143771, 669.20, 68
2026-07-16T13:05:13Z,100, 54, 116633, 143771, 690.50, 66
2026-07-16T13:05:15Z,100, 55, 116633, 143771, 710.40, 67
2026-07-16T13:05:17Z,100, 51, 116633, 143771, 695.53, 68
2026-07-16T13:05:19Z,100, 54, 116633, 143771, 687.22, 68
2026-07-16T13:05:21Z,100, 53, 116633, 143771, 676.78, 68
2026-07-16T13:05:23Z,100, 56, 116633, 143771, 691.31, 69
2026-07-16T13:05:25Z,100, 56, 116633, 143771, 696.73, 68
2026-07-16T13:05:27Z,100, 52, 116633, 143771, 694.04, 70
2026-07-16T13:05:29Z,100, 54, 116633, 143771, 698.49, 69
2026-07-16T13:05:31Z,100, 51, 116633, 143771, 694.75, 69
2026-07-16T13:05:33Z,100, 53, 116633, 143771, 689.37, 69
2026-07-16T13:05:35Z,100, 56, 116633, 143771, 700.61, 69
2026-07-16T13:05:37Z,100, 54, 116633, 143771, 685.46, 69
2026-07-16T13:05:39Z,100, 54, 116633, 143771, 712.09, 67
2026-07-16T13:05:41Z,100, 47, 116633, 143771, 698.02, 67
2026-07-16T13:05:43Z,100, 53, 116633, 143771, 685.25, 67
2026-07-16T13:05:45Z,55, 32, 116633, 143771, 678.82, 69
2026-07-16T13:05:47Z,100, 56, 116633, 143771, 694.34, 67
2026-07-16T13:05:49Z,100, 56, 116633, 143771, 709.44, 67
2026-07-16T13:05:51Z,100, 51, 116633, 143771, 689.02, 67
2026-07-16T13:05:53Z,100, 54, 116633, 143771, 694.73, 67
2026-07-16T13:05:55Z,100, 52, 116633, 143771, 685.55, 69
2026-07-16T13:05:58Z,100, 55, 116633, 143771, 684.42, 67
2026-07-16T13:06:00Z,100, 55, 116633, 143771, 701.56, 69
2026-07-16T13:06:02Z,100, 54, 116633, 143771, 684.17, 69
2026-07-16T13:06:04Z,100, 54, 116633, 143771, 706.89, 68
2026-07-16T13:06:06Z,100, 51, 116633, 143771, 681.83, 66
2026-07-16T13:06:08Z,100, 53, 116633, 143771, 684.58, 65
2026-07-16T13:06:10Z,100, 52, 116633, 143771, 676.47, 68
2026-07-16T13:06:12Z,100, 55, 116633, 143771, 697.59, 68
2026-07-16T13:06:14Z,100, 54, 116633, 143771, 681.17, 68
2026-07-16T13:06:16Z,100, 54, 116633, 143771, 693.92, 67
2026-07-16T13:06:18Z,100, 56, 116633, 143771, 682.02, 67
2026-07-16T13:06:20Z,100, 53, 116633, 143771, 684.78, 70
2026-07-16T13:06:22Z,100, 56, 116633, 143771, 706.16, 68
2026-07-16T13:06:24Z,100, 56, 116633, 143771, 687.29, 68
2026-07-16T13:06:26Z,100, 55, 116633, 143771, 692.76, 68
2026-07-16T13:06:28Z,100, 54, 116633, 143771, 686.30, 68
2026-07-16T13:06:30Z,100, 48, 116633, 143771, 684.00, 66
2026-07-16T13:06:32Z,100, 52, 116633, 143771, 688.59, 68
2026-07-16T13:06:34Z,1, 1, 116633, 143771, 616.31, 59
2026-07-16T13:06:36Z,89, 28, 116637, 143771, 565.33, 66
2026-07-16T13:06:38Z,86, 27, 116637, 143771, 565.75, 65
2026-07-16T13:06:40Z,88, 28, 116637, 143771, 594.21, 65
2026-07-16T13:06:42Z,89, 28, 116637, 143771, 587.47, 66
2026-07-16T13:06:44Z,86, 27, 116637, 143771, 578.21, 66
2026-07-16T13:06:46Z,90, 29, 116637, 143771, 587.34, 65
2026-07-16T13:06:48Z,87, 27, 116637, 143771, 576.16, 65
2026-07-16T13:06:50Z,89, 29, 116637, 143771, 565.03, 65
2026-07-16T13:06:52Z,87, 28, 116637, 143771, 586.55, 65
2026-07-16T13:06:54Z,88, 29, 116637, 143771, 576.45, 65
2026-07-16T13:06:56Z,86, 27, 116637, 143771, 569.68, 64
2026-07-16T13:06:58Z,85, 28, 116637, 143771, 568.53, 64
2026-07-16T13:07:00Z,83, 27, 116637, 143771, 552.52, 64
2026-07-16T13:07:02Z,88, 28, 116637, 143771, 562.71, 65
2026-07-16T13:07:04Z,84, 27, 116637, 143771, 572.10, 65
2026-07-16T13:07:06Z,87, 28, 116637, 143771, 579.14, 65
2026-07-16T13:07:08Z,86, 27, 116637, 143771, 554.25, 65
2026-07-16T13:07:10Z,86, 27, 116637, 143771, 573.21, 65
2026-07-16T13:07:12Z,88, 28, 116637, 143771, 567.71, 64
2026-07-16T13:07:14Z,91, 29, 116637, 143771, 576.13, 65
2026-07-16T13:07:16Z,90, 28, 116637, 143771, 588.18, 64
2026-07-16T13:07:18Z,80, 26, 116637, 143771, 571.73, 64
2026-07-16T13:07:20Z,86, 27, 116637, 143771, 562.16, 64
2026-07-16T13:07:22Z,84, 27, 116637, 143771, 568.32, 64
2026-07-16T13:07:25Z,87, 28, 116637, 143771, 570.13, 64
2026-07-16T13:07:27Z,91, 28, 116637, 143771, 571.48, 65
2026-07-16T13:07:29Z,90, 29, 116637, 143771, 585.41, 65
2026-07-16T13:07:31Z,89, 28, 116637, 143771, 576.74, 65
2026-07-16T13:07:33Z,2, 0, 116637, 143771, 139.98, 53
2026-07-16T13:07:35Z,100, 53, 116637, 143771, 693.31, 67
2026-07-16T13:07:37Z,100, 56, 116637, 143771, 691.13, 67
2026-07-16T13:07:39Z,100, 54, 116637, 143771, 688.17, 68
2026-07-16T13:07:41Z,100, 54, 116637, 143771, 691.30, 65
2026-07-16T13:07:43Z,100, 55, 116637, 143771, 681.99, 65
2026-07-16T13:07:45Z,100, 56, 116637, 143771, 683.83, 69
2026-07-16T13:07:47Z,100, 57, 116637, 143771, 696.35, 67
2026-07-16T13:07:49Z,100, 51, 116637, 143771, 697.67, 69
2026-07-16T13:07:51Z,100, 52, 116637, 143771, 689.54, 68
2026-07-16T13:07:53Z,100, 53, 116637, 143771, 687.96, 70
2026-07-16T13:07:55Z,100, 57, 116637, 143771, 690.03, 66
2026-07-16T13:07:57Z,100, 54, 116637, 143771, 697.76, 66
2026-07-16T13:07:59Z,100, 52, 116637, 143771, 695.40, 69
2026-07-16T13:08:01Z,100, 54, 116637, 143771, 688.78, 68
2026-07-16T13:08:03Z,100, 53, 116637, 143771, 693.81, 69
2026-07-16T13:08:05Z,100, 55, 116637, 143771, 691.95, 68
2026-07-16T13:08:07Z,100, 57, 116637, 143771, 686.64, 68
2026-07-16T13:08:09Z,100, 55, 116637, 143771, 691.26, 68
2026-07-16T13:08:11Z,100, 55, 116637, 143771, 686.14, 69
2026-07-16T13:08:13Z,100, 49, 116637, 143771, 692.76, 67
2026-07-16T13:08:15Z,100, 55, 116637, 143771, 690.27, 66
2026-07-16T13:08:17Z,100, 53, 116637, 143771, 671.46, 69
2026-07-16T13:08:19Z,100, 54, 116637, 143771, 691.46, 67
2026-07-16T13:08:21Z,100, 55, 116637, 143771, 682.20, 67
2026-07-16T13:08:23Z,100, 52, 116637, 143771, 680.71, 67
2026-07-16T13:08:25Z,100, 53, 116637, 143771, 690.39, 67
2026-07-16T13:08:27Z,100, 53, 116637, 143771, 694.10, 68
2026-07-16T13:08:29Z,100, 56, 116637, 143771, 688.59, 69
2026-07-16T13:08:31Z,100, 56, 116637, 143771, 657.32, 63
2026-07-16T13:08:33Z,100, 54, 116637, 143771, 694.52, 67
2026-07-16T13:08:35Z,100, 54, 116637, 143771, 697.47, 67
2026-07-16T13:08:37Z,100, 52, 116637, 143771, 694.23, 68
2026-07-16T13:08:39Z,100, 56, 116637, 143771, 696.78, 68
2026-07-16T13:08:41Z,100, 52, 116637, 143771, 685.45, 69
2026-07-16T13:08:43Z,100, 54, 116637, 143771, 693.72, 69
2026-07-16T13:08:45Z,100, 54, 116637, 143771, 701.39, 69
2026-07-16T13:08:47Z,100, 52, 116637, 143771, 691.56, 71
2026-07-16T13:08:50Z,100, 55, 116637, 143771, 703.72, 67
2026-07-16T13:08:52Z,100, 53, 116637, 143771, 694.62, 69
2026-07-16T13:08:54Z,100, 56, 116637, 143771, 699.05, 70
2026-07-16T13:08:56Z,100, 55, 116637, 143771, 690.89, 69
2026-07-16T13:08:58Z,100, 55, 116637, 143771, 688.96, 67
2026-07-16T13:09:00Z,100, 54, 116637, 143771, 683.08, 66
2026-07-16T13:09:02Z,100, 52, 116637, 143771, 695.65, 68
2026-07-16T13:09:04Z,100, 56, 116637, 143771, 693.26, 67
2026-07-16T13:09:06Z,100, 52, 116637, 143771, 688.65, 69
2026-07-16T13:09:08Z,100, 55, 116637, 143771, 683.70, 68
2026-07-16T13:09:10Z,100, 55, 116637, 143771, 691.69, 67
2026-07-16T13:09:12Z,100, 41, 116637, 143771, 688.68, 66
2026-07-16T13:09:14Z,100, 55, 116637, 143771, 688.02, 68
2026-07-16T13:09:16Z,100, 53, 116637, 143771, 691.91, 68
2026-07-16T13:09:18Z,100, 55, 116637, 143771, 689.20, 69
2026-07-16T13:09:20Z,58, 33, 116637, 143771, 664.86, 68
2026-07-16T13:09:22Z,100, 54, 116637, 143771, 695.65, 66
2026-07-16T13:09:24Z,100, 55, 116637, 143771, 698.45, 69
2026-07-16T13:09:26Z,100, 50, 116637, 143771, 692.02, 67
2026-07-16T13:09:28Z,100, 54, 116637, 143771, 696.99, 67
2026-07-16T13:09:30Z,100, 53, 116637, 143771, 675.76, 68
2026-07-16T13:09:32Z,100, 56, 116637, 143771, 691.76, 66
2026-07-16T13:09:34Z,100, 54, 116637, 143771, 689.77, 66
2026-07-16T13:09:36Z,100, 52, 116637, 143771, 687.69, 64
2026-07-16T13:09:38Z,100, 54, 116637, 143771, 683.33, 67
2026-07-16T13:09:40Z,100, 51, 116637, 143771, 683.86, 67
2026-07-16T13:09:42Z,100, 54, 116637, 143771, 687.18, 66
2026-07-16T13:09:44Z,56, 31, 116637, 143771, 672.26, 66
2026-07-16T13:09:46Z,100, 52, 116637, 143771, 696.15, 67
2026-07-16T13:09:48Z,100, 52, 116637, 143771, 685.86, 68
2026-07-16T13:09:50Z,100, 53, 116637, 143771, 694.33, 67
